,id,0,1,2,3
0,cb7a4e0dd0777,0.072028145,0.050197173,0.7846374,0.09313729
1,e78e3915f3e30,0.0004475364,0.060630664,0.58417535,0.35474646
2,8e65ba155f983,0.070439674,0.03341111,0.6494733,0.2466759
3,701e90ca03ce2,0.9794555,0.0058470448,0.013298361,0.0013991275
4,768fefec8609a,0.0009796501,0.010482659,0.15624237,0.8322953
5,c82dda45a3b6a,0.060288914,0.041051272,0.74872655,0.14993325
6,6341541975879,0.00030669488,0.11254573,0.85993636,0.027211197
7,e7f84a3f59af5,0.0065417984,0.03720926,0.501641,0.45460802
8,277c78d6c7d4a,0.0017323823,0.017102044,0.9527931,0.028372444
9,b3f1bc31ff96f,0.030149175,0.20760107,0.70140475,0.060844965
10,aa2489021c583,0.0005552189,0.08813497,0.7603036,0.1510062
11,c0bc42b246e22,0.97173315,0.017692128,0.00975977,0.0008149329
12,c9657b8e6a548,0.00042187344,0.11639042,0.847938,0.035249732
13,ac4fe0f041f4d,0.003409379,0.072636954,0.8960161,0.027937489
14,78ec1dbea3802,0.00011925822,0.9706932,0.028930673,0.0002569385
15,f7bc6efcda82c,0.039783165,0.08303391,0.8345718,0.04261117
16,f398ea2f613e0,0.08049092,0.014481219,0.5723486,0.3326793
17,cf8133b7c888c,0.09503263,0.09811199,0.12372741,0.683128
18,8ce644a1cf903,0.98602456,0.007700794,0.005709206,0.0005653985
19,02557380b4cd2,0.068200685,0.6711314,0.2597303,0.0009376167
20,f294140a5b880,0.0155770285,0.059006575,0.79269534,0.1327211
21,35e206e51cec4,0.11772978,0.17394446,0.14572942,0.5625963
22,7f3f7c6a395e7,0.059758887,0.15212035,0.6976019,0.09051886
23,54f9183c781c3,0.02102812,0.04286612,0.8788899,0.0572158
24,b7af9d800fd58,0.95658517,0.036040667,0.0051977243,0.0021764922
25,8d11b75a862a9,0.1708815,0.040877264,0.5116383,0.27660295
26,472b44724b004,0.00092770247,0.029205985,0.9022202,0.06764608
27,7e8ca30810da1,0.3777656,0.051322676,0.49146277,0.07944893
28,5bca7813a04a4,0.8897214,0.0072775004,0.07299493,0.030006168
29,e3206966caff1,0.99095625,0.004531359,0.0032365324,0.0012758754
30,b15ccaed4e749,0.9925688,0.002642396,0.0046766484,0.0001121814
31,b1205a3226590,0.0011948756,0.34579074,0.5946778,0.05833662
32,2167843fc903a,0.004585376,0.16607468,0.56341636,0.26592362
33,8ab1c994e631f,0.0041510337,0.7254481,0.24448745,0.025913417
34,6a463ccadb0fc,0.058680933,0.044237524,0.88123876,0.015842741
35,40e03a3f0818b,0.20219222,0.48272663,0.1965078,0.118573345
36,78a23bf98f576,0.9956255,0.0029493347,0.001090872,0.00033429486
37,d8bf9bc40f956,0.0033532542,0.4336755,0.55004984,0.012921402
38,c0e35faa240f7,0.017431615,0.049105138,0.90085155,0.032611676
39,14a0b10f57350,0.003875356,0.14811508,0.6008873,0.24712226
40,67e6a57f18620,0.00032383951,0.10377507,0.8637694,0.032131635
41,2a0354f66e21a,0.06814885,0.10764863,0.71783787,0.106364675
42,8836c1c470302,0.028013492,0.09878737,0.75181997,0.121379204
43,b21d74d065335,0.1234947,0.098561235,0.44204536,0.33589873
44,bcf5869e52875,0.06376683,0.27115074,0.6578765,0.007205912
45,826d04e097adf,0.028160218,0.053360596,0.7188787,0.19960056
46,43dbabee0259d,0.041810445,0.05378826,0.77101624,0.13338505
47,f5347d56c9571,0.16202715,0.51814735,0.31319395,0.006631577
48,4bf80ca51a695,0.0013017404,0.005566601,0.75976104,0.23337066
49,4056fa615c6d4,0.88832384,0.003128634,0.07360952,0.03493802
50,2f3174b89420b,0.98578054,0.00785445,0.005847537,0.0005174616
51,de768558eabe5,0.9844258,0.011847225,0.0024359182,0.001291102
52,1d4918a8c517e,0.01113287,0.18566994,0.074206166,0.728991
53,25e8ada5ac109,0.0056154905,0.21457712,0.53964496,0.24016242
54,9251f1d76a7bc,0.010763923,0.45372385,0.3144421,0.22107014
55,d0aede5463464,0.36943883,0.6070225,0.02087457,0.0026640545
56,b1a8865d46fab,0.1180821,0.036401223,0.6578748,0.18764184
57,b44e327ed330d,0.9741519,0.010373917,0.015322256,0.00015197712
58,12cb022091521,0.01045003,0.4071766,0.30675837,0.27561492
59,85719c5eedc2e,0.97796315,0.003972907,0.013026158,0.0050377315
60,716f0621b2b8e,0.06480165,0.052613385,0.7550897,0.12749527
61,0801fe2b85d8f,0.0587698,0.24887514,0.61416215,0.07819291
62,374e4d3d3a825,0.00585539,0.13568263,0.71399474,0.14446718
63,1f9c2b9bd550e,0.033631735,0.09674829,0.7395766,0.1300434
64,24849419778e6,0.0011331096,0.0118487105,0.23334412,0.7536741
65,d7c724436e10f,0.015941434,0.11616642,0.8573405,0.010551584
66,35ac36a0e9332,0.3073981,0.049655527,0.28521317,0.35773316
67,67ca49cbe9963,0.053652864,0.033397462,0.5256095,0.38734016
68,a4432db98090a,0.0022998205,0.56166446,0.41658318,0.019452527
69,a25b11e86b58f,0.013405825,0.040939856,0.80816287,0.13749143
70,1af7c95c6d14a,0.006109098,0.065453574,0.34637606,0.58206123
71,64dab177f0701,0.0017958959,0.32937065,0.6545807,0.014252804
72,62e926e35e177,0.049757816,0.14862935,0.6231994,0.1784134
73,eae92ee37d2a1,0.9791052,0.015181151,0.0046977126,0.0010159774
74,4622a2cb547e6,0.00043867636,0.0026963612,0.95517397,0.041691005
75,11fa91af86e8a,0.21488933,0.083021924,0.42980784,0.27228084
76,a0b0ca0fe0f8c,0.23150016,0.067129314,0.4774109,0.22395964
77,46685042b18d0,0.0006434543,0.0089996345,0.9742634,0.016093515
78,8dbe257f5968c,0.13919923,0.04339489,0.6933563,0.124049574
79,e3d1904e5424e,0.00085598044,0.12516783,0.8450711,0.028905094
80,9c131d8b7f254,0.07289094,0.14492553,0.13771681,0.6444667
81,94e2c9578273d,0.014867582,0.076928005,0.21521176,0.6929926
82,021680f2208d1,0.008373985,0.0869692,0.87097186,0.033684935
83,2191f28b2de40,0.0040025017,0.70393294,0.19435829,0.09770626
84,975564d687628,0.003108994,0.2198722,0.686209,0.09080977
